"amazon_covid_titles"t	"amazon_covid_starrating"t	"amazon_covid_jobtitles"t	"amazon_covid_location"t	"amazon_covid_reviewdate"t	"amazon_covid_CONS"t	"amazon_covid_PROS"t	"STATE"t	"MONTH"
"159"t	"\"Incredible Company and People\""t	"5.0"t	"Current Employee - Picker"t	"Beloit, WI"t	"December 4, 2020"t	"The technical aptitude required for this role makes it challenging at times, and you’re often working long hours. However, as mentioned above, you see the tangible results of your work, so it all makes it worth it!"t	"Good pay lots of improvement"t	"WI"t	"Dec"
"160"t	"\"You create your own environment\""t	"5.0"t	"Current Employee - GMA"t	"Indianapolis, IN"t	"December 4, 2020"t	"Need mental strength to work here
Typical workplace drama
Need to be an active person"t	"Good potential for moving up"t	"IN"t	"Dec"
"161"t	"\"You create your own environment\""t	"5.0"t	"Current Employee - Software Engineer"t	"Seattle, WA"t	"December 6, 2020"t	"Need mental strength to work here
Typical workplace drama
Need to be an active person"t	"accountability, leadership, structure, challenge and reward"t	"WA"t	"Dec"
"162"t	"\"Great company if you are motivated\""t	"5.0"t	"Current Employee - Client Lead Recruiter"t	"Seattle, WA"t	"December 4, 2020"t	"1. Your experience in Amazon would be very team dependent. You could go to a bad team that's all OE and no real projects and have bad WLB. However, all my teams so far have good WLB. 
2. Competitive. You'll be put on a dev plan if you don't perform well. If you are not a very motivated person, stay away.
3. Leadership principal is sort of cult-ish if you are not into them."t	"Good money easy work days"t	"WA"t	"Dec"
"163"t	"\"A indow into AWS Recruiting\""t	"5.0"t	"Current Employee - FC Associate I"t	"Dallas, TX"t	"December 4, 2020"t	"1. As everyone notes, work life balance is hard to achieve, both because the work and demands are so high but also that the work is addicting and the drive to achieve becomes engrained in you.

2. Promotions, especially to the senior level, are highly politicized and rare. Do not get caught up in the promotion rat race that everyone else is or you WILL burn out.

3. Expectations are difficult for some to achieve on a consistent basis

4. Too many recruiters at the company, causing a lot of in-fighting over candidate ownership and complex rule-sets around who/why/how to engage candidaets. Most of the biggest frustrations have come from arguing with other recruiters doing shady things.

5. We are behind our competition in terms of pay, benefits, WLB, and industry reputation, making it hard to close tech candidates in an extremely competitive marketplace."t	"Good if you enjoy big challenges and dynamic environments."t	"TX"t	"Dec"
"164"t	"\"play your cards\""t	"5.0"t	"Current Employee - Senior Product Manager"t	"Seattle, WA"t	"December 4, 2020"t	"Be on your Ps and Qs"t	"Fast paced company with little to no power distance culture."t	"WA"t	"Dec"
"165"t	"\"Good co. to work for\""t	"5.0"t	"Current Employee - Senior Product Manager"t	"Seattle, WA"t	"December 4, 2020"t	"High work load, especially in Q4"t	"Good pay lots of improvement"t	"WA"t	"Dec"
"166"t	"\"Great place to work\""t	"4.0"t	"Current Employee - CRC Associate"t	"Houston, TX"t	"December 4, 2020"t	"Culture can be hard for some people to get used to"t	"Good potential for moving up"t	"TX"t	"Dec"
"167"t	"\"Great job\""t	"4.0"t	"Current Employee - Manager"t	"West Jefferson, OH"t	"December 5, 2020"t	"OT not consistent. Laptops aren’t the best for WFH"t	"Great benefits. Opportunities for promotions"t	"OH"t	"Dec"
"168"t	"\"Great Company\""t	"4.0"t	"Current Employee - Order Picker"t	"Detroit, MI"t	"December 5, 2020"t	"Heavy workload, production of everything"t	"Amazon is one of the most inspiring and diverse companies to work for. It’s incredible to tangibly see the product of your work in how happy we make customers. Some of the most intelligent people I’ve ever worked for are my coworkers at Amazon. 10/10 dream company."t	"MI"t	"Dec"
"169"t	"\"Cool place\""t	"5.0"t	"Current Employee - Senior Product Manager"t	"Austin, TX"t	"December 5, 2020"t	"High turnover not much really"t	"It has probably the best benefits as a full time employee than anywhere else. It’s great fast paced work if you like it; just need to be mentally strong as well. Most managers are great and super helpful."t	"TX"t	"Dec"
"170"t	"\"Best company to work for\""t	"5.0"t	"Current Employee - Amazon Warehouse Worker"t	"Akron, OH"t	"December 1, 2020"t	"Long work hours and you caught up in office politics"t	"1. Fast career growth. You can get promoted pretty quickly from new grads if you put in the work. 
2. Smart coworkers
3. You might be working on challenging problem that doesn't have a clear solution. You'll learn a lot along the way. 
4. Pay is good with refreshers if you are top tier."t	"OH"t	"Dec"
"171"t	"\"Cool place\""t	"5.0"t	"Current Employee - Order Picker"t	"Spring, TX"t	"December 4, 2020"t	"High turnover not much really"t	"Weekly pay decent breaks clean"t	"TX"t	"Dec"
"172"t	"\"Best company to work for\""t	"5.0"t	"Current Employee - Senior Product Manager"t	"Rockville, MD"t	"December 4, 2020"t	"Long work hours and you caught up in office politics"t	"Your opinion is valued and executed"t	"MD"t	"Dec"
"173"t	"\"warehouse worker\""t	"5.0"t	"Current Employee - Amazon Warehouse Worker"t	"Stone Mountain, GA"t	"December 4, 2020"t	"It is physical work and you are on your feet for 10 hours a day so be prepared and give it time for your body to adjust."t	"The company truly seems to care about their employees and tries to really take care of them. The benefit packages are very good."t	"GA"t	"Dec"
"174"t	"\"Just started\""t	"4.0"t	"Current Employee - Prime Now Associate"t	"Jersey City, NJ"t	"December 3, 2020"t	"Gotta be on time q"t	"Its easy going if you know what you doing"t	"NJ"t	"Dec"
"175"t	"\"Great Company\""t	"4.0"t	"Current Employee - Driver Trainer"t	"Oklahoma City, OK"t	"December 3, 2020"t	"Large scale, could get lost in shuffle if unwilling to work."t	"Path for advancement, Benefits and Perks, Learning opportunities"t	"OK"t	"Dec"
"176"t	"\"Easily Warehouse Job\""t	"4.0"t	"Current Employee - Warehouse Associate"t	"Patterson, CA"t	"December 4, 2020"t	"* depending on where you work inside the warehouse your feet will hurt from standing all day, so switch shoes between break or wear comfortable shoes with soles"t	"*pay
*meeting new people 
*easy to learn"t	"CA"t	"Dec"
"177"t	"\"Salary benefit\""t	"4.0"t	"Current Employee - Warehouse Associate"t	"Akron, OH"t	"December 4, 2020"t	"Not worth it work hard for $15"t	"Good salary nothing to say"t	"OH"t	"Dec"
"178"t	"\"Good overtime if wanted\""t	"4.0"t	"Current Employee - Pack Singles"t	"Auburndale, FL"t	"December 4, 2020"t	"You feel like a number"t	"Overtime, decent pay and benefits"t	"FL"t	"Dec"
"179"t	"\"Amazon fulfillment centers\""t	"5.0"t	"Current Employee - Process Technician"t	"West Seattle, WA"t	"December 3, 2020"t	"pay rate is not competitive with other logistics companies"t	"It’s good with flexible works schedule"t	"WA"t	"Dec"
"180"t	"\"A\""t	"5.0"t	"Current Employee - Ship Dock Associate"t	"Seattle, WA"t	"December 3, 2020"t	"Long hours, no part time"t	"Make good money, great staff"t	"WA"t	"Dec"
"181"t	"\"Great Company\""t	"5.0"t	"Current Employee - Legal Assistant"t	"Euclid, OH"t	"December 3, 2020"t	"Large scale, could get lost in shuffle if unwilling to work."t	"Pushed to identify problems and encouraged to independently find creative solutions."t	"OH"t	"Dec"
"182"t	"\"Easily Warehouse Job\""t	"5.0"t	"Current Employee - Amazon Associate"t	"Olive Branch, MS"t	"December 2, 2020"t	"* depending on where you work inside the warehouse your feet will hurt from standing all day, so switch shoes between break or wear comfortable shoes with soles"t	"great benefits and pay coming in the door"t	"MS"t	"Dec"
"183"t	"\"Salary benefit\""t	"4.0"t	"Current Employee - Warehouse Fullfilment Associate"t	"Seattle, WA"t	"December 2, 2020"t	"Not worth it work hard for $15"t	"Weekly pay, great benefits, great environment"t	"WA"t	"Dec"
"184"t	"\"Good overtime if wanted\""t	"4.0"t	"Current Employee - Senior Business Analyst"t	"New York, NY"t	"December 3, 2020"t	"You feel like a number"t	"Ownership, stock , fast paced , technically very challenging"t	"NY"t	"Dec"
"185"t	"\"Amazon fulfillment centers\""t	"4.0"t	"Current Employee - Amazon Delivery Associate"t	"Seattle, WA"t	"December 3, 2020"t	"pay rate is not competitive with other logistics companies"t	"Coworkers are pretty cool people, there is the occasional bonus, and if all packages are delivered early, you get paid for the whole shift anyways."t	"WA"t	"Dec"
"186"t	"\"A\""t	"4.0"t	"Current Employee - Senior Software Engineer"t	"Memphis, TN"t	"December 3, 2020"t	"Long hours, no part time"t	"So much to learn from amazing projects."t	"TN"t	"Dec"
"187"t	"\"perfect\""t	"4.0"t	"Current Employee - Amazon Warehouse Worker"t	"New York, NY"t	"December 3, 2020"t	"six feet distancing sucks people get fired"t	"Pay. Good benefits. Good hours"t	"NY"t	"Dec"
"188"t	"\"Fast Paced and Engaging\""t	"4.0"t	"Current Employee - Senior Software Engineer"t	"Charlotte, NC"t	"December 3, 2020"t	"Nothing at the current moment."t	"Lots of tech stack options. From high to low level. Plenty of cool opportunities to hop into all new projects or well established. Moves fast

Interview process is very well put together and structured from both sides."t	"NC"t	"Dec"
"189"t	"\"life at amazon\""t	"4.0"t	"Current Employee - Transportation Associate"t	"New York, NY"t	"December 3, 2020"t	"standing all day which can eventually take a toll"t	"good pay, solid benefits, flexible options, a plus if you are trying to build a solid resume"t	"NY"t	"Dec"
"190"t	"\"Awesome jobs\""t	"4.0"t	"Current Employee - Student"t	"Hebron, KY"t	"December 3, 2020"t	"Long hours, high risk job"t	"Fun to work at 
Good pay"t	"KY"t	"Dec"
"191"t	"\"Very exciting\""t	"4.0"t	"Current Employee - Senior Business Analyst"t	"College Station, TX"t	"December 1, 2020"t	"Have not found any yet"t	"Fun to work at 
Good pay"t	"TX"t	"Dec"
"192"t	"\"Amazon\""t	"4.0"t	"Current Employee - Amazon Delivery Associate"t	"Seattle, WA"t	"December 2, 2020"t	"I wish the culture was better"t	"Good money, meet new people, easy work"t	"WA"t	"Dec"
"193"t	"\"Sr. Program Manager\""t	"4.0"t	"Current Employee - Senior Software Engineer"t	"Milford, MA"t	"December 2, 2020"t	"bad managers , strict about time"t	"Great pay and work life balance"t	"MA"t	"Dec"
"194"t	"\"great\""t	"4.0"t	"Current Employee - Amazon Warehouse Worker"t	"Baltimore, MD"t	"December 2, 2020"t	"To long standing on feet"t	"the pay is really fantastic"t	"MD"t	"Dec"
"195"t	"\"amazon warehouse\""t	"4.0"t	"Current Employee - Senior Software Engineer"t	"Portland, OR"t	"December 2, 2020"t	"Dislike working for Jeff Bezos"t	"very good , nice place"t	"OR"t	"Dec"
"196"t	"\"It’s great\""t	"4.0"t	"Current Employee - Transportation Associate"t	"Phoenix, AZ"t	"December 2, 2020"t	"There aren't any cons to list."t	"It is a great company"t	"AZ"t	"Dec"
"197"t	"\"Portland Office\""t	"4.0"t	"Current Employee - Student"t	"Whitestown, IN"t	"December 2, 2020"t	"It can get boring easily"t	"Great community at Portland branch"t	"IN"t	"Dec"
"198"t	"\"Amazing\""t	"4.0"t	"Current Employee - Package Handler"t	"Detroit, MI"t	"December 1, 2020"t	"Really long hours
Very fast pace"t	"The experience and pay are great."t	"MI"t	"Dec"
"199"t	"\"Pretty solid\""t	"5.0"t	"Current Employee - Senior Program Manager"t	"Seattle, WA"t	"December 1, 2020"t	"Hectic schedule in Amazon company"t	"It is really pretty easy"t	"WA"t	"Dec"
"200"t	"\"Great foundation\""t	"5.0"t	"Current Employee - Software Engineer"t	"Orlando, FL"t	"December 2, 2020"t	"very fast paced but doable"t	"Pay 
Responsibilities
Career growth 
Great on a resume"t	"FL"t	"Dec"
"201"t	"\"amazon warehouse\""t	"4.0"t	"Current Employee - Amazon Warehouse Worker"t	"Seattle, WA"t	"December 2, 2020"t	"very fast paced but doable"t	"Very good recognition for hard work and dependability. They work very good around your schedule and the hours are great. Love the people I work with and the people I work for."t	"WA"t	"Dec"
"202"t	"\"It’s great\""t	"4.0"t	"Current Employee - Marketing"t	"Orlando, FL"t	"November 29, 2020"t	"I honestly believe with the amount of risks the job has and the amount of work is put on us most of the days, the pay should be a little higher."t	"It’s a nice job and respectful to people"t	"FL"t	"Nov"
"203"t	"\"Portland Office\""t	"5.0"t	"Current Employee - SDE-I"t	"New Castle, DE"t	"November 30, 2020"t	"It’s a job so it sucks"t	"Work is paid very well"t	"DE"t	"Nov"
"204"t	"\"Amazing\""t	"5.0"t	"Current Employee - Global Logistics Specialist"t	"Davenport, FL"t	"November 30, 2020"t	"Hard labor favoritism and the"t	"Everything looks great and prefect"t	"FL"t	"Nov"
"205"t	"\"Pretty solid\""t	"5.0"t	"Current Employee - Warehouse Worker"t	"Atlanta, GA"t	"November 30, 2020"t	"there is no con to mention it here"t	"Flexible schedule to work with"t	"GA"t	"Nov"
"206"t	"\"Great foundation\""t	"5.0"t	"Current Employee - Area Manager"t	"Seattle, WA"t	"November 30, 2020"t	"No cons as such... no"t	"yes that is good thing"t	"WA"t	"Nov"
"207"t	"\"Good perks and hectic schedule\""t	"5.0"t	"Current Employee - Software Engineer"t	"Rockville, MD"t	"December 1, 2020"t	"I am really proud of my company"t	"Pay, benefits, opportunities for advancement."t	"MD"t	"Dec"
"208"t	"\"Good job. lots of leadership experience\""t	"5.0"t	"Current Employee - IT Support Engineer I"t	"Oklahoma City, OK"t	"December 1, 2020"t	"There are no cons I can think of."t	"good salary and work ."t	"OK"t	"Dec"
"209"t	"\"Amazon Delivery Driver\""t	"5.0"t	"Current Employee - Delivery Driver"t	"Phoenix, AZ"t	"December 1, 2020"t	"work load is more sometimes"t	"Fast paced easy to promote"t	"AZ"t	"Dec"
"210"t	"\"Nice job\""t	"5.0"t	"Current Employee - Team Member"t	"Seattle, WA"t	"December 1, 2020"t	"Fast paced isn’t for everyone"t	"Great benefits, pay, and mangers. All very friendly people. Plenty of UPT and PTO. Very understanding with your issues."t	"WA"t	"Dec"
"211"t	"\"Great place to work\""t	"5.0"t	"Current Employee - Delivery Driver"t	"Fort Worth, TX"t	"November 30, 2020"t	"Need more hr employees 
Could be better
Some people are lazy
Everything is automatic
Boring sometimes"t	"Great benefits, pay, and mangers. All very friendly people. Plenty of UPT and PTO. Very understanding with your issues."t	"TX"t	"Nov"
"212"t	"\"Best job\""t	"5.0"t	"Current Employee - Software QA Tester"t	"Cambridge, MA"t	"November 30, 2020"t	"work life balance, no free food"t	"Pay
Benefits
Easy 
Happy place
Hard working people"t	"MA"t	"Nov"
"213"t	"\"Great company to work for\""t	"5.0"t	"Current Employee - FC Associate I"t	"Redmond, WA"t	"November 30, 2020"t	"Work a lot and no work life balance"t	"learn new things
work with smart people"t	"WA"t	"Nov"
"214"t	"\"Great\""t	"5.0"t	"Current Employee - Manager"t	"Seattle, WA"t	"December 1, 2020"t	"Having the ability to prioritize/influence the right work is key to success here; I have seen some struggle with their ability to work smarter and end up working harder."t	"High pay and good benefit"t	"WA"t	"Dec"
"215"t	"\"Great place to learn, work on challenging projects, and make an impact.\""t	"5.0"t	"Current Employee - Global Logistics Specialist"t	"Seattle, WA"t	"December 1, 2020"t	"No Work Life Balance - You need to spend tons and tons of effort!"t	"Challenging problems to solve and freedom to invent"t	"WA"t	"Dec"
"216"t	"\"A company to work for\""t	"4.0"t	"Current Employee - Software Development Engineer"t	"Cincinnati, OH"t	"December 1, 2020"t	"Pay is no longer competitive"t	"Individuals can chart their career growth"t	"OH"t	"Dec"
"217"t	"\"Easy, warehouse job\""t	"4.0"t	"Current Employee - FC Associate I"t	"Chicago, IL"t	"December 1, 2020"t	"Long hours and a lot of work"t	"Easy, laid back, flexible hours"t	"IL"t	"Dec"
"218"t	"\"Great\""t	"4.0"t	"Current Employee - Amazon Warehouse Worker"t	"San Antonio, TX"t	"December 1, 2020"t	"Depending on who your manager is it might suck, but that is rare."t	"Nice people and good management"t	"TX"t	"Dec"
"219"t	"\"Good place to work.\""t	"4.0"t	"Current Employee - Associate"t	"Fort Worth, TX"t	"December 1, 2020"t	"Be on feet a lot"t	"Amazon is a good place to work at with good pay, good benefits, and different variety of people."t	"TX"t	"Dec"
"220"t	"\"Good work ethic is all u need\""t	"4.0"t	"Current Employee - Research Scientist"t	"Chicago, IL"t	"December 1, 2020"t	"constantly working and the whole tracking your time can be annoying."t	"Benefits for the kids and the girls and the boys"t	"IL"t	"Dec"
"221"t	"\"Great\""t	"5.0"t	"Current Employee - Associate"t	"Redmond, WA"t	"December 15, 2020"t	"Long hours with a up to 200+ packages to deliver in used/unstable vans"t	"High pay and good benefit"t	"WA"t	"Dec"
"222"t	"\"Great place to learn, work on challenging projects, and make an impact.\""t	"5.0"t	"Current Employee - Delivery Driver"t	"Seattle, WA"t	"November 29, 2020"t	"Nothing I can really think of. It’s a bit physically taxing but that’s it"t	"Challenging problems to solve and freedom to invent"t	"WA"t	"Nov"
"223"t	"\"A company to work for\""t	"4.0"t	"Current Employee - Entrepreneur"t	"Seattle, WA"t	"November 30, 2020"t	"Long Hours
Task Juggling
Negative Engagements
No Overtime Pay"t	"Individuals can chart their career growth"t	"WA"t	"Nov"
"224"t	"\"Easy, warehouse job\""t	"4.0"t	"Current Employee - Area Manager"t	"Cincinnati, OH"t	"November 30, 2020"t	"kind of hectic role but can cope up"t	"Easy, laid back, flexible hours"t	"OH"t	"Nov"
"225"t	"\"Great\""t	"4.0"t	"Current Employee - Business Analyst"t	"Chicago, IL"t	"November 30, 2020"t	"Not always work and have to keep a certain rate"t	"Nice people and good management"t	"IL"t	"Nov"
"226"t	"\"Good place to work.\""t	"4.0"t	"Current Employee - Associate"t	"San Antonio, TX"t	"November 30, 2020"t	"Need to have a flexible schedule and possibly work nights."t	"Amazon is a good place to work at with good pay, good benefits, and different variety of people."t	"TX"t	"Nov"
"227"t	"\"Good work ethic is all u need\""t	"4.0"t	"Current Employee - Process Assistant"t	"Fort Worth, TX"t	"November 30, 2020"t	"A lot of work - work/life balance"t	"Benefits for the kids and the girls and the boys"t	"TX"t	"Nov"
"228"t	"\"Decent job\""t	"4.0"t	"Current Employee - Software Engineer"t	"Chicago, IL"t	"November 26, 2020"t	"Repetitive Work
Low Base Pay
Management is hit or miss"t	"possibilities to move up and the 3 day weekends are nice."t	"IL"t	"Nov"
"229"t	"\"Good Temporary Job\""t	"3.0"t	"Current Employee - Warehouse Picker"t	"Eagan, MN"t	"November 29, 2020"t	"Covid-19
No close contact with friends new or old
Constant yelling 6 feet from Safety Champions"t	"If you want to work and make money this is an easy entry level job. No prior experience needed"t	"MN"t	"Nov"
"230"t	"\"Great company\""t	"5.0"t	"Current Employee - Warehouse Associate"t	"Philadelphia, PA"t	"November 30, 2020"t	"Hours can be long, depending on which department you are assigned the pay may or may not be worth it, and management is not always the best"t	"Amazon is a great company to work for"t	"PA"t	"Nov"
"231"t	"\"Operations\""t	"5.0"t	"Current Employee - Warehouse Associate"t	"Seattle, WA"t	"November 30, 2020"t	"Covid-19
No close contact with friends new or old
Constant yelling 6 feet from Safety Champions"t	"Weekly Pay
Extra hours
Simple hiring process"t	"WA"t	"Nov"
"232"t	"\"ba\""t	"5.0"t	"Current Employee - Amazon Wharehouse Worker"t	"Seattle, WA"t	"November 30, 2020"t	"Hours can be long, depending on which department you are assigned the pay may or may not be worth it, and management is not always the best"t	"Flexible schedules, reasonable pay, diversity, opportunities to move up, and good benefits"t	"WA"t	"Nov"
"233"t	"\"Good steady job\""t	"5.0"t	"Current Employee - Anonymous Employee"t	"Seattle, WA"t	"November 30, 2020"t	"Many reorgs 
Many pivots on active work"t	"Apply leadership principles 
Use of narrative briefs are effective
Good, smart people"t	"WA"t	"Nov"
"234"t	"\"Great company\""t	"5.0"t	"Current Employee - Front End Engineer"t	"Sunnyvale, CA"t	"November 30, 2020"t	"A bad team will ruin your idea of what it means to work in tech. Underpaid compared to other big tech companies in Seattle."t	"Great place to learn and grow."t	"CA"t	"Nov"
"235"t	"\"Good Company\""t	"5.0"t	"Current Employee - Technical Program Manager II"t	"Coppell, TX"t	"November 30, 2020"t	"Benefits are quite cheaper when compared to similar tech companies like Apple, Google, Microsoft and Facebook."t	"You will be kept busy through out the year with new challenges and you get more opportunities to learn and grow."t	"TX"t	"Nov"
"236"t	"\"If you like to work hard, it's for you\""t	"5.0"t	"Current Employee - Software Development Engineer (SDE) II"t	"Newark, NJ"t	"November 26, 2020"t	"manager centric company
less work life balance"t	"Ability to learn both tech and leadership skills
Ability to switch teams easily
Higher TC with growth in stocks"t	"NJ"t	"Nov"
"237"t	"\"Life of an AA\""t	"4.0"t	"Current Employee - Tier I"t	"Harmans, MD"t	"November 30, 2020"t	"It can be loud in the Fullfilment Center. Turnover is high because the days are looooong, but it is a well run building."t	"Benefits are great for this type of work. The 40 hours in 4 days makes for long days but having an extra day off is a plus. There are extra shifts available most weeks."t	"MD"t	"Nov"
"238"t	"\"Peculiar but effective communication method\""t	"4.0"t	"Current Employee - Receptionist"t	"Minneapolis, MN"t	"November 30, 2020"t	"The Managers
The heavy Work load
Constant Physical labor
Inconvenient Shift times"t	"401k benefits
Health benefits 
Discounts
Paid time off"t	"MN"t	"Nov"
"239"t	"\"Great if on the right team!\""t	"4.0"t	"Current Employee - Process Assistant"t	"Bessemer, AL"t	"November 30, 2020"t	"ethics, morals, mental health is always affected"t	"Good pay, good benefits easy work"t	"AL"t	"Nov"
"240"t	"\"Good for challenges and average on benefits.\""t	"4.0"t	"Current Employee - Associate"t	"Seattle, WA"t	"November 30, 2020"t	"Highly physically demanding, and difficult to work with upon injury."t	"Decent pay and benefit options, supportive colleagues"t	"WA"t	"Nov"
"241"t	"\"Good place for hard workers\""t	"5.0"t	"Current Employee - Inbound Stower"t	"Bessemer, AL"t	"December 14, 2020"t	"Cons are too much work pressure"t	"Pros are just benefits and salary and stocks"t	"AL"t	"Dec"
"242"t	"\"It's not for everybody\""t	"5.0"t	"Current Employee - Software Engineer"t	"Seattle, WA"t	"November 28, 2020"t	"Not very flexible with my daycare"t	"Flexibility with my daytime schedule"t	"WA"t	"Nov"
"243"t	"\"Amazon delivery\""t	"5.0"t	"Current Employee - Warehouse Worker"t	"Phoenix, AZ"t	"November 28, 2020"t	"Nothing much cuz amazon is coo"t	"Flexibility with hours and some others proes"t	"AZ"t	"Nov"
"244"t	"\"it’s amazon\""t	"5.0"t	"Current Employee - Amazon Warehouse Worker"t	"Henderson, NV"t	"November 29, 2020"t	"more room for improvement through dedication"t	"good data analyst through team players"t	"NV"t	"Nov"
"245"t	"\"Extremely hard work, but a rewarding community\""t	"5.0"t	"Current Employee - Cyber Security"t	"Akron, OH"t	"November 29, 2020"t	"Nothing the company is amazing"t	"Really Takes care of employees"t	"OH"t	"Nov"
"246"t	"\"Decent easy money\""t	"4.0"t	"Current Employee - Learning Coordinator"t	"Harleysville, PA"t	"November 29, 2020"t	"Long shifts can be tiring."t	"Good Culture. Benefits. Opportunities for advancement"t	"PA"t	"Nov"
"247"t	"\"Okaish\""t	"4.0"t	"Current Employee - Trainer"t	"Charlotte, NC"t	"November 28, 2020"t	"Being seasonal and jumping through hoops to become permanent."t	"I love working for Amazon. Easy to move into new exciting roles once blue badged."t	"NC"t	"Nov"
"248"t	"\"Awesome\""t	"4.0"t	"Current Employee - Social Media Specialist"t	"Huntsville, AL"t	"November 29, 2020"t	"Requires a lot of sweat and tears. If you're not into working this probably isn't the job for you."t	"Fast paced work environment, can be rough to newcomers"t	"AL"t	"Nov"
"249"t	"\"Ambassador\""t	"3.0"t	"Current Employee - Yard Marshal"t	"Tempe, AZ"t	"November 29, 2020"t	"Can be stressfull around the holiday season"t	"It is never boring, great people to work with. Always want to see you improving."t	"AZ"t	"Nov"
"250"t	"\"improvement\""t	"3.0"t	"Current Employee - Area Manager"t	"Springfield, VA"t	"December 12, 2020"t	"Days can be long, A lot of steps, Different supervisors operate and pay differently"t	"Work at your own pace, Every day is different, no micro-managing"t	"VA"t	"Dec"
"251"t	"\"Amazing business\""t	"5.0"t	"Current Employee - Learning Coordinator"t	"Harleysville, PA"t	"November 29, 2020"t	"Days can be long, A lot of steps, Different supervisors operate and pay differently"t	"Really Takes care of employees"t	"PA"t	"Nov"
"252"t	"\"Amazon is a good place to advance your career\""t	"5.0"t	"Current Employee - Trainer"t	"Charlotte, NC"t	"November 29, 2020"t	"Difficult to move up, goes very slowly"t	"Good Culture. Benefits. Opportunities for advancement"t	"NC"t	"Nov"
"253"t	"\"Awesome role\""t	"4.0"t	"Current Employee - Social Media Specialist"t	"Huntsville, AL"t	"November 28, 2020"t	"Ambiguous promotion track, long hours"t	"I love working for Amazon. Easy to move into new exciting roles once blue badged."t	"AL"t	"Nov"
"254"t	"\"Good job, experience varies widely by location.\""t	"4.0"t	"Current Employee - Yard Marshal"t	"Tempe, AZ"t	"November 29, 2020"t	"Challenging during holiday time with alot of overtime."t	"Fast paced work environment, can be rough to newcomers"t	"AZ"t	"Nov"
"255"t	"\"Amazon Area Manager(L4)\""t	"4.0"t	"Current Employee - Area Manager"t	"Springfield, VA"t	"November 29, 2020"t	"The only con that I can complain about is the HR system, it’s really bad. If you get a point it’s hard to get that back depending who’s working at the desk. There’s been times where they fixed it there and others seem like they can’t. Makes no sense. Keep in mind 6 points and they can terminate you. They can also charge time instead of points if you have time available. If HR can’t seem to fix it and you have actual proof of an error with the system, always try to talk to you Operations Manager to see what they can do!"t	"It is never boring, great people to work with. Always want to see you improving."t	"VA"t	"Nov"
"256"t	"\"Decent Employment\""t	"3.0"t	"Current Employee - Delivery Driver"t	"Bronx, NY"t	"December 12, 2020"t	"No provided free meals, only snacks"t	"Work at your own pace, Every day is different, no micro-managing"t	"NY"t	"Dec"
"257"t	"\"Okay\""t	"3.0"t	"Current Employee - Warehouse Associate"t	"Arlington Heights, Cook, IL"t	"December 13, 2020"t	"It's boring with doing the same stuff every single day"t	"Not to difficult work for decent pay"t	"IL"t	"Dec"
"258"t	"\"Quick growth, quick turnover\""t	"3.0"t	"Current Employee - Area Manager II"t	"Tracy, CA"t	"December 13, 2020"t	"High level of ambiguity for projects 
Long development schedules (automotive)
Modest salary"t	"Quick growth, fast paced, data driven"t	"CA"t	"Dec"
"259"t	"\"Amazon\""t	"5.0"t	"Current Employee - Warehouse Associate"t	"Houston, TX"t	"November 27, 2020"t	"Very metrics driven. Gotta meet the quota"t	"Growth and plenty of work opportunities."t	"TX"t	"Nov"
"260"t	"\"Great work culture\""t	"5.0"t	"Current Employee - Senior Software Engineer"t	"San Mateo, CA"t	"November 28, 2020"t	"Very physically demanding and so tiring"t	"Working on important problems that directly improve customer experience"t	"CA"t	"Nov"
"261"t	"\"Being in the right team can make a lot of difference\""t	"3.0"t	"Current Employee - Warehouse Associate"t	"Seattle, WA"t	"December 11, 2020"t	"There seems to be a much longer path to management for minorities and other marginalized groups."t	"Interesting projects and you get to work with smart people."t	"WA"t	"Dec"
"262"t	"\"Lots of work pressure\""t	"3.0"t	"Current Employee - Business Development"t	"New York, NY"t	"December 11, 2020"t	"Talent reviews every year that force management to identify low performers"t	"Interesting problems and talented co-workers"t	"NY"t	"Dec"
"263"t	"\"Interesting, but grueling work\""t	"3.0"t	"Current Employee - Cloud Support Engineer"t	"Spokane, WA"t	"December 12, 2020"t	"Lots of work pressure, tight deadlines."t	"Always hiring, no experience needed
decent pay, good benefits
managers care about you once you get to know them"t	"WA"t	"Dec"
"264"t	"\"Good starting point\""t	"3.0"t	"Current Employee - Warehouse Associate"t	"New York, NY"t	"December 12, 2020"t	"Impersonal office culture and strenuous work environment. Tops down culture."t	"Plenty of opportunities for growth"t	"NY"t	"Dec"
"265"t	"\"Amazon\""t	"3.0"t	"Current Employee - Senior Product Manager"t	"Los Angeles, CA"t	"December 12, 2020"t	"hard physical labor, menial
employee management/statistics tracking system is blunt and can be discouraging"t	"Long hours good pay weekly pay"t	"CA"t	"Dec"
"266"t	"\"Awesome job\""t	"5.0"t	"Current Employee - Software Development Engineer"t	"Dallas, TX"t	"November 26, 2020"t	"Hard work. Not for everybody"t	"Good pay and benefits. Good choice if wanting to earn some work experience."t	"TX"t	"Nov"
"267"t	"\"Warehouse Associate's Experience\""t	"4.0"t	"Current Employee - Software Development Engineer"t	"Edison, NJ"t	"November 26, 2020"t	"None that I can think of"t	"Good pay every week and good benefits"t	"NJ"t	"Nov"
