Source (A),Source (B),Source (C),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
156,12,Lots of people and hard work,6,93.26,95.20,1.00,25.77,6.00,0.00,100.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
157,12,Long hours and some menial tasks,6,62.04,50.00,98.01,25.77,6.00,0.00,100.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,33.33,0.00,16.67,16.67,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
158,12,Job can be demanding sometimes,5,8.69,50.00,43.37,25.77,5.00,40.00,100.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,40.00,0.00,20.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159,12,"The technical aptitude required for this role makes it challenging at times, and you’re often working long hours. However, as mentioned above, you see the tangible results of your work, so it all makes it worth it!",37,40.48,97.06,36.43,75.85,18.50,24.32,91.89,51.35,21.62,8.11,0.00,0.00,8.11,0.00,0.00,13.51,5.41,13.51,2.70,8.11,10.81,0.00,13.51,2.70,2.70,0.00,0.00,2.70,2.70,2.70,0.00,0.00,0.00,0.00,13.51,0.00,0.00,0.00,0.00,16.22,0.00,8.11,0.00,2.70,2.70,2.70,2.70,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.81,0.00,8.11,2.70,0.00,0.00,0.00,13.51,0.00,16.22,0.00,8.11,8.11,10.81,0.00,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.92,2.70,10.81,0.00,0.00,0.00,2.70,0.00,0.00,2.70,0.00,0.00
160,12,"Need mental strength to work here
Typical workplace drama
Need to be an active person",15,97.53,74.76,1.00,99.00,15.00,20.00,93.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,13.33,6.67,6.67,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,13.33,13.33,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,13.33,0.00,0.00,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,6.67,6.67,0.00,0.00,0.00,26.67,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
161,12,"Need mental strength to work here
Typical workplace drama
Need to be an active person",15,97.53,74.76,1.00,99.00,15.00,20.00,93.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,13.33,6.67,6.67,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,13.33,13.33,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,13.33,0.00,0.00,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,6.67,6.67,0.00,0.00,0.00,26.67,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
162,12,"1. Your experience in Amazon would be very team dependent. You could go to a bad team that's all OE and no real projects and have bad WLB. However, all my teams so far have good WLB. 
2. Competitive. You'll be put on a dev plan if you don't perform well. If you are not a very motivated person, stay away.
3. Leadership principal is sort of cult-ish if you are not into them.",75,12.10,82.47,14.56,25.77,7.50,12.00,85.33,54.67,12.00,10.67,1.33,0.00,8.00,0.00,1.33,1.33,4.00,8.00,16.00,6.67,9.33,5.33,20.00,1.33,0.00,0.00,4.00,2.67,5.33,2.67,2.67,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,16.00,1.33,1.33,6.67,5.33,2.67,8.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,4.00,9.33,5.33,1.33,2.67,0.00,14.67,2.67,10.67,4.00,8.00,0.00,10.67,4.00,0.00,0.00,0.00,0.00,1.33,0.00,0.00,0.00,1.33,0.00,21.33,13.33,2.67,0.00,0.00,0.00,0.00,1.33,0.00,4.00,0.00,0.00
163,12,"1. As everyone notes, work life balance is hard to achieve, both because the work and demands are so high but also that the work is addicting and the drive to achieve becomes engrained in you.

2. Promotions, especially to the senior level, are highly politicized and rare. Do not get caught up in the promotion rat race that everyone else is or you WILL burn out.

3. Expectations are difficult for some to achieve on a consistent basis

4. Too many recruiters at the company, causing a lot of in-fighting over candidate ownership and complex rule-sets around who/why/how to engage candidaets. Most of the biggest frustrations have come from arguing with other recruiters doing shady things.

5. We are behind our competition in terms of pay, benefits, WLB, and industry reputation, making it hard to close tech candidates in an extremely competitive marketplace.",148,84.47,75.05,32.31,9.26,13.45,25.68,86.49,50.68,8.11,2.70,0.00,1.35,1.35,0.00,0.00,5.41,6.76,16.89,8.11,5.41,8.11,0.68,10.81,7.43,2.03,2.03,3.38,3.38,4.05,1.35,2.70,0.00,2.03,0.00,8.11,0.00,0.00,0.00,0.00,14.19,1.35,4.05,0.68,2.70,2.70,3.38,2.03,0.00,0.00,2.03,1.35,0.00,1.35,0.00,0.00,16.22,1.35,6.76,7.43,4.73,0.68,0.68,10.14,1.35,14.19,2.03,11.49,0.68,12.84,0.00,0.00,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.22,7.43,6.08,0.00,0.00,0.00,0.00,1.35,0.00,0.00,0.00,1.35
164,12,Be on your Ps and Qs,6,18.82,99.00,23.51,25.77,6.00,0.00,66.67,66.67,16.67,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,16.67,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
165,12,"High work load, especially in Q4",6,93.26,50.00,98.01,25.77,6.00,16.67,66.67,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,16.67,16.67,0.00,0.00,0.00,16.67,0.00,33.33,0.00,33.33,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
166,12,Culture can be hard for some people to get used to,11,98.34,96.52,1.00,25.77,11.00,9.09,100.00,45.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27,18.18,0.00,0.00,0.00,27.27,9.09,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,18.18,0.00,9.09,0.00,9.09,0.00,0.00,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,9.09,0.00,9.09,27.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
167,12,OT not consistent. Laptops aren’t the best for WFH,9,75.90,1.00,58.07,99.00,4.50,22.22,66.67,44.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,11.11,0.00,0.00,22.22,11.11,11.11,11.11,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,11.11,11.11,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00
168,12,"Heavy workload, production of everything",5,93.26,97.69,1.00,25.77,5.00,60.00,80.00,40.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,40.00,0.00,20.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
169,12,High turnover not much really,5,8.69,1.00,99.00,25.77,5.00,20.00,80.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
170,12,Long work hours and you caught up in office politics,10,93.26,97.69,99.00,25.77,10.00,10.00,100.00,40.00,10.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,10.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,10.00,20.00,0.00,0.00,10.00,10.00,0.00,50.00,10.00,30.00,10.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
171,12,High turnover not much really,5,8.69,1.00,99.00,25.77,5.00,20.00,80.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
172,12,Long work hours and you caught up in office politics,10,93.26,97.69,99.00,25.77,10.00,10.00,100.00,40.00,10.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,10.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,10.00,20.00,0.00,0.00,10.00,10.00,0.00,50.00,10.00,30.00,10.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
173,12,It is physical work and you are on your feet for 10 hours a day so be prepared and give it time for your body to adjust.,27,36.10,98.62,33.94,25.77,27.00,7.41,96.30,59.26,18.52,11.11,0.00,0.00,11.11,0.00,0.00,7.41,3.70,14.81,11.11,3.70,11.11,0.00,14.81,3.70,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.81,0.00,0.00,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,0.00,0.00,11.11,7.41,3.70,0.00,0.00,3.70,0.00,3.70,0.00,0.00,0.00,0.00,18.52,3.70,14.81,0.00,3.70,11.11,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174,12,Gotta be on time q,5,93.26,50.00,99.00,25.77,5.00,0.00,80.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,40.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
175,12,"Large scale, could get lost in shuffle if unwilling to work.",11,93.26,18.16,2.40,1.00,11.00,18.18,72.73,36.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,0.00,9.09,0.00,27.27,9.09,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,18.18,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.36,0.00,18.18,9.09,9.09,0.00,9.09,18.18,0.00,18.18,0.00,18.18,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176,12,"* depending on where you work inside the warehouse your feet will hurt from standing all day, so switch shoes between break or wear comfortable shoes with soles",27,89.09,86.68,79.42,25.77,27.00,18.52,88.89,44.44,7.41,7.41,0.00,0.00,7.41,0.00,0.00,0.00,3.70,18.52,3.70,7.41,7.41,0.00,7.41,3.70,0.00,3.70,0.00,3.70,7.41,3.70,3.70,0.00,0.00,3.70,7.41,0.00,0.00,0.00,0.00,11.11,0.00,3.70,0.00,7.41,3.70,3.70,3.70,0.00,0.00,3.70,14.81,14.81,0.00,0.00,0.00,3.70,0.00,3.70,0.00,0.00,0.00,0.00,7.41,3.70,22.22,0.00,14.81,3.70,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70
177,12,Not worth it work hard for $15,7,68.29,1.00,13.15,25.77,7.00,0.00,85.71,42.86,14.29,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29
178,12,You feel like a number,5,99.00,99.00,43.37,25.77,5.00,0.00,80.00,60.00,20.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
179,12,pay rate is not competitive with other logistics companies,9,46.37,1.00,58.07,25.77,9.00,33.33,77.78,44.44,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,11.11,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,11.11,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
180,12,"Long hours, no part time",5,52.71,2.31,99.00,25.77,5.00,0.00,100.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,20.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
181,12,"Large scale, could get lost in shuffle if unwilling to work.",11,93.26,18.16,2.40,1.00,11.00,18.18,72.73,36.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,0.00,9.09,0.00,27.27,9.09,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,18.18,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.36,0.00,18.18,9.09,9.09,0.00,9.09,18.18,0.00,18.18,0.00,18.18,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
182,12,"* depending on where you work inside the warehouse your feet will hurt from standing all day, so switch shoes between break or wear comfortable shoes with soles",27,89.09,86.68,79.42,25.77,27.00,18.52,88.89,44.44,7.41,7.41,0.00,0.00,7.41,0.00,0.00,0.00,3.70,18.52,3.70,7.41,7.41,0.00,7.41,3.70,0.00,3.70,0.00,3.70,7.41,3.70,3.70,0.00,0.00,3.70,7.41,0.00,0.00,0.00,0.00,11.11,0.00,3.70,0.00,7.41,3.70,3.70,3.70,0.00,0.00,3.70,14.81,14.81,0.00,0.00,0.00,3.70,0.00,3.70,0.00,0.00,0.00,0.00,7.41,3.70,22.22,0.00,14.81,3.70,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70
183,12,Not worth it work hard for $15,7,68.29,1.00,13.15,25.77,7.00,0.00,85.71,42.86,14.29,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29
184,12,You feel like a number,5,99.00,99.00,43.37,25.77,5.00,0.00,80.00,60.00,20.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
185,12,pay rate is not competitive with other logistics companies,9,46.37,1.00,58.07,25.77,9.00,33.33,77.78,44.44,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,11.11,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,11.11,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
186,12,"Long hours, no part time",5,52.71,2.31,99.00,25.77,5.00,0.00,100.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,20.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
187,12,six feet distancing sucks people get fired,7,93.26,50.00,13.15,1.00,7.00,14.29,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,14.29,0.00,28.57,0.00,28.57,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,14.29,0.00,0.00,0.00,14.29,0.00,0.00,28.57,0.00,14.29,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
188,12,Nothing at the current moment.,5,99.00,2.31,99.00,25.77,5.00,40.00,100.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,60.00,0.00,20.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
