Source (A),Source (B),Source (C),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
167,12,Great benefits. Opportunities for promotions,5,99.00,50.00,1.00,99.00,2.50,60.00,100.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,60.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,40.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
168,12,Amazon is one of the most inspiring and diverse companies to work for. It’s incredible to tangibly see the product of your work in how happy we make customers. Some of the most intelligent people I’ve ever worked for are my coworkers at Amazon. 10/10 dream company.,48,91.10,85.13,7.84,99.00,12.00,20.83,87.50,45.83,10.42,8.33,4.17,2.08,2.08,0.00,0.00,2.08,6.25,18.75,8.33,4.17,4.17,0.00,14.58,8.33,4.17,2.08,6.25,6.25,6.25,6.25,0.00,0.00,0.00,0.00,10.42,0.00,0.00,0.00,0.00,16.67,2.08,6.25,0.00,6.25,2.08,0.00,2.08,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,2.08,6.25,0.00,0.00,0.00,2.08,16.67,0.00,6.25,0.00,4.17,2.08,16.67,2.08,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.58,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,2.08
169,12,It has probably the best benefits as a full time employee than anywhere else. It’s great fast paced work if you like it; just need to be mentally strong as well. Most managers are great and super helpful.,38,35.06,50.00,9.58,99.00,12.67,21.05,94.74,50.00,10.53,2.63,0.00,0.00,2.63,0.00,0.00,7.89,5.26,10.53,10.53,10.53,10.53,0.00,15.79,28.95,13.16,0.00,0.00,2.63,23.68,23.68,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,18.42,0.00,0.00,5.26,10.53,0.00,7.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.32,2.63,7.89,10.53,10.53,0.00,0.00,15.79,0.00,10.53,2.63,5.26,5.26,10.53,0.00,0.00,0.00,0.00,0.00,2.63,0.00,0.00,0.00,2.63,0.00,13.16,7.89,0.00,0.00,2.63,0.00,0.00,0.00,0.00,2.63,0.00,0.00
170,12,"1. Fast career growth. You can get promoted pretty quickly from new grads if you put in the work. 
2. Smart coworkers
3. You might be working on challenging problem that doesn't have a clear solution. You'll learn a lot along the way. 
4. Pay is good with refreshers if you are top tier.",54,66.94,93.07,33.94,98.27,6.00,14.81,87.04,44.44,11.11,9.26,0.00,0.00,9.26,0.00,0.00,1.85,7.41,9.26,14.81,0.00,3.70,1.85,20.37,7.41,1.85,0.00,7.41,1.85,9.26,7.41,1.85,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,16.67,3.70,1.85,5.56,9.26,1.85,3.70,1.85,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,11.11,1.85,5.56,1.85,0.00,16.67,3.70,16.67,7.41,7.41,5.56,14.81,0.00,0.00,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.37,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00
171,12,Weekly pay decent breaks clean,5,93.26,50.00,43.37,99.00,5.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
172,12,Your opinion is valued and executed,6,1.92,99.00,1.00,99.00,6.00,33.33,83.33,50.00,16.67,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
173,12,The company truly seems to care about their employees and tries to really take care of them. The benefit packages are very good.,23,80.93,80.77,2.02,99.00,11.50,17.39,95.65,56.52,8.70,8.70,0.00,0.00,0.00,0.00,8.70,0.00,8.70,17.39,4.35,17.39,4.35,0.00,26.09,0.00,0.00,0.00,0.00,0.00,21.74,21.74,0.00,0.00,0.00,0.00,13.04,0.00,0.00,0.00,0.00,13.04,4.35,0.00,0.00,4.35,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.74,0.00,4.35,4.35,13.04,0.00,0.00,26.09,0.00,0.00,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174,12,Its easy going if you know what you doing,9,1.00,99.00,58.07,99.00,9.00,0.00,100.00,66.67,44.44,22.22,0.00,0.00,22.22,0.00,0.00,22.22,0.00,0.00,11.11,0.00,11.11,0.00,33.33,11.11,0.00,11.11,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,22.22,11.11,0.00,11.11,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
175,12,"Path for advancement, Benefits and Perks, Learning opportunities",8,93.26,50.00,74.76,99.00,8.00,50.00,75.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,0.00,25.00,0.00,37.50,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176,12,"*pay
*meeting new people 
*easy to learn",7,99.00,99.00,89.63,99.00,7.00,14.29,100.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,28.57,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,14.29,42.86,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.86
177,12,Good salary nothing to say,5,93.26,50.00,1.00,99.00,5.00,20.00,100.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
178,12,"Overtime, decent pay and benefits",5,52.71,50.00,1.00,99.00,5.00,40.00,100.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
179,12,It’s good with flexible works schedule,6,62.04,50.00,23.51,99.00,6.00,33.33,100.00,33.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,16.67,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,33.33,0.00,16.67,0.00,16.67,0.00,0.00,33.33,0.00,16.67,0.00,0.00,16.67,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00
180,12,"Make good money, great staff",5,93.26,50.00,1.00,99.00,5.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,20.00,40.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
181,12,Pushed to identify problems and encouraged to independently find creative solutions.,11,98.34,81.84,85.21,99.00,11.00,54.55,100.00,27.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,9.09,0.00,18.18,9.09,0.00,0.00,0.00,0.00,27.27,18.18,9.09,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,54.55,27.27,27.27,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.36,9.09,18.18,0.00,0.00,9.09,0.00,9.09,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
182,12,great benefits and pay coming in the door,8,99.00,50.00,99.00,99.00,8.00,12.50,100.00,37.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,12.50,0.00,12.50,12.50,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,12.50,37.50,12.50,25.00,0.00,25.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
183,12,"Weekly pay, great benefits, great environment",6,93.26,50.00,98.01,99.00,6.00,33.33,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,33.33,0.00,16.67,16.67,33.33,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
184,12,"Ownership, stock , fast paced , technically very challenging",7,68.29,92.33,13.15,99.00,7.00,42.86,71.43,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,14.29,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.86,0.00,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
185,12,"Coworkers are pretty cool people, there is the occasional bonus, and if all packages are delivered early, you get paid for the whole shift anyways.",25,52.71,88.48,6.70,99.00,25.00,20.00,92.00,44.00,4.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00,8.00,4.00,12.00,8.00,8.00,0.00,20.00,8.00,0.00,0.00,0.00,8.00,12.00,12.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,4.00,12.00,4.00,4.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,4.00,0.00,8.00,0.00,4.00,16.00,0.00,12.00,4.00,0.00,8.00,4.00,0.00,0.00,8.00,0.00,0.00,8.00,0.00,0.00,4.00,0.00,4.00,16.00,4.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
186,12,So much to learn from amazing projects.,7,93.26,50.00,13.15,99.00,7.00,28.57,100.00,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,14.29,14.29,0.00,14.29,14.29,0.00,0.00,0.00,14.29,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
187,12,Pay. Good benefits. Good hours,5,93.26,50.00,43.37,99.00,1.67,20.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,40.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
188,12,"Lots of tech stack options. From high to low level. Plenty of cool opportunities to hop into all new projects or well established. Moves fast

Interview process is very well put together and structured from both sides.",37,95.42,60.66,99.00,99.00,9.25,21.62,86.49,35.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.92,2.70,8.11,5.41,0.00,8.11,8.11,0.00,0.00,0.00,10.81,13.51,10.81,2.70,0.00,0.00,2.70,5.41,0.00,0.00,0.00,0.00,10.81,0.00,0.00,0.00,8.11,2.70,2.70,2.70,0.00,0.00,2.70,0.00,0.00,0.00,0.00,0.00,10.81,2.70,2.70,5.41,2.70,0.00,0.00,5.41,0.00,32.43,10.81,18.92,5.41,5.41,0.00,0.00,0.00,0.00,0.00,8.11,0.00,0.00,2.70,5.41,0.00,10.81,10.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
189,12,"good pay, solid benefits, flexible options, a plus if you are trying to build a solid resume",17,93.26,72.17,1.00,99.00,17.00,17.65,82.35,41.18,5.88,5.88,0.00,0.00,5.88,0.00,0.00,0.00,11.76,11.76,5.88,0.00,11.76,0.00,11.76,0.00,0.00,0.00,0.00,0.00,17.65,17.65,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,17.65,0.00,0.00,5.88,17.65,0.00,5.88,5.88,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,23.53,0.00,5.88,0.00,17.65,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,17.65,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.65,0.00,17.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
190,12,"Fun to work at 
Good pay",6,99.00,50.00,23.51,99.00,6.00,0.00,100.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,16.67,0.00,16.67,0.00,0.00,16.67,0.00,16.67,0.00,16.67,0.00,33.33,16.67,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
191,12,"Fun to work at 
Good pay",6,99.00,50.00,23.51,99.00,6.00,0.00,100.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,16.67,0.00,16.67,0.00,0.00,16.67,0.00,16.67,0.00,16.67,0.00,33.33,16.67,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
192,12,"Good money, meet new people, easy work",7,93.26,99.00,13.15,99.00,7.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,28.57,0.00,0.00,0.00,0.00,28.57,28.57,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.86,14.29,14.29,0.00,14.29,0.00,0.00,28.57,0.00,14.29,0.00,0.00,14.29,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
193,12,Great pay and work life balance,6,62.04,50.00,1.00,99.00,6.00,16.67,83.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,0.00,33.33,0.00,16.67,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
194,12,the pay is really fantastic,5,52.71,2.31,43.37,99.00,5.00,20.00,100.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,20.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
195,12,"very good , nice place",4,38.60,50.00,74.76,99.00,4.00,0.00,100.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
196,12,It is a great company,5,52.71,97.69,1.00,99.00,5.00,20.00,100.00,60.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,20.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
197,12,Great community at Portland branch,5,99.00,97.69,43.37,99.00,5.00,40.00,60.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
198,12,The experience and pay are great.,6,62.04,50.00,1.00,99.00,6.00,16.67,100.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,16.67,0.00,16.67,16.67,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
199,12,It is really pretty easy,5,1.00,2.31,43.37,99.00,5.00,0.00,100.00,60.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,20.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
200,12,"Pay 
Responsibilities
Career growth 
Great on a resume",8,99.00,50.00,74.76,99.00,8.00,12.50,100.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,25.00,12.50,12.50,0.00,50.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
